,고시원 이름,평수,총 방 갯수,총 욕실 갯수,주차 공간,보증금,월 임대료,관리비,매물 총액,인근 지하철,인근 대학교
4104,서울 노원구 00동,367,31 개,31 개,00 대,5000,350,None,,None,None
4105,서울 종로구 00동,254.6,37 개,37 개,00 대,3000,350,None,1억,None,None
4106,서울 종로구 00동,269.88,33 개,33 개,00 대,5000,650,별도,2억9000,None,None
4107,서울 강남구 역삼동,303.39,40 개,0 개,X 대,6천,622,포함,1억1천,None,None
4108,서울 중구 흥인동,360,52 개,50 개,X 대,6천,440,184만,1억8천,None,None
4109,서울 성북구 00동,360,45 개,7 개,00 대,7천,520,30,2억7천,None,None
4110,서울 동작구 00동,495,38 개,38 개,00 대,4천,320,20,2억,None,None
4111,서울 영등포구 00동,110.25,36 개,36 개,00 대,5천,420,30,4억,None,None
4112,서울 중구 00동,208.8,31 개,31 개,00 대,,.,None,18000,None,None
4113,서울 동작구 00동,460,40 개,40 개,00 대,,.,None,10000,None,None
4114,서울 영등포구 대림동,311,개,개,00 대,1악1천,577다포,None,2억8천,None,None
4115,서울 강동구 성내동,462,개,개,00 대,4500,120,무,1억5천만,5호선 둔촌동역,None
4116,서울 동대문구 회기동,270,48 개,48 개,00 대,5천,366다포,None,1억4천,None,None
4117,서울 양천구 목동,424,24 개,24 개,5 대,9천,360,100,2억,None,None
4118,서울 영등포구 당산동,434.28,31 개,25 개,00 대,2천,400,None,1억2천,None,None
4119,서울 마포구 서교동,240,34 개,30 개,1 대,5천,550,40,합1억8천,None,None
4120,서울 중랑구 00동,262.99,29 개,12 개,00 대,,240,None,7500,None,None
4121,서울 서초구 00동,310.5,51 개,4 개,00 대,5000,680,None,25000,None,None
4122,서울 관악구 00동,250.56,개,개,00 대,3000,400,None,17000,None,None
4123,서울 관악구 신림동,380,개,개,1 대,4천,290,30,합1억5천,None,None
4124,서울 강남구 도곡동,246,개,개,1 대,3500,290,30,합9천,None,None
4125,서울 종로구 종로동,415,40 개,27 개,00 대,6천,590,30,합3억2천,None,None
4126,서울 동작구 상도동,고시원,40 개,4 개,1 대,7천,320,None,권리금3500,None,None
4127,서울 동작구 00동,380,50 개,50 개,00 대,6300,600,문의,3억,2호선 사당역,None
4128,서울 중구 00동,300,55 개,8 개,2 대,1억2천,720,None,4억5천,None,None
4129,서울 양천구 신정동,460,45 개,45 개,00 대,2000,310,None,26000,None,None
4130,서울 마포구 00동,440,개,개,00 대,7천,500,630,3억7천,None,None
4131,서울 동대문구 00동,449.97,개,개,00 대,6000,600,None,,None,None
4132,서울 동대문구 00동,485.02,57 개,개,00 대,,410,None,2억9500,None,None
4133,서울 중랑구 00동,338.84,45 개,00 개,00 대,7000,430,None,2억3000,None,None
4134,서울 동작구 00동,512,36 개,개,00 대,4000,400,None,,None,None
4135,서울 송파구 송파동,495,42 개,0 개,1 대,5500,590,50,합2억,None,None
4136,서울 관악구 봉천동,335,42 개,개,2 대,3천,390,포함,1억8천,None,None
4137,서울 송파구 가락동,396,56 개,23 개,3 대,4천,320,23만원,1억4천,None,None
4138,서울 노원구 상계동,360,35 개,35 개,4 대,6천,680,없음,2억2천,None,None
4139,서울 동대문구 00동,440,26 개,15 개,00 대,4천,360,None,1억5천,None,None
4140,서울 양천구 신정동,254.6,52 개,30 개,X 대,5천,265,없음,1억,None,None
4141,서울 영등포구 00동,118.83,45 개,개,4 대,4000,470,총10만원,2억7천,None,None
4142,서울 중구 00동,261.61,30 개,16 개,00 대,7천,550,문의,2억,2호선 사문화공원역,None
4143,서울 관악구 00동,456,36 개,37 개,00 대,6000,420,None,13000,None,None
4144,서울 중구 충무로,140.33,46 개,개,불가 대,3800,470,없음,1억5천,None,None
4145,서울 서대문구 창천동,300,35 개,개,불가 대,1억5천,600,없음,3억6천,None,None
4146,서울 광진구 자양로,302.51,44 개,26 개,불가 대,4000,400,없음,1억6천,None,None
4147,서울 강남구 역삼동,420,29 개,29 개,불가 대,4000,300,20,1억9천,None,None
4148,서울 서초구 남부순환로,452.1,41 개,11 개,불가 대,5000,580,없음,3억,None,None
4149,서울 종로구 종로동,446.83,16 개,16 개,00 대,8000,450,30,1억8천,None,None
4150,서울 동대문구 제기동,316.36,34 개,34 개,1 대,7천,590,50,합1억5천,None,None
4151,서울 마포구 염리동,207.14,38 개,18 개,X 대,5천,550,없음,1억8천,None,None
4152,서울 강서구 화곡동,292.9,55 개,44 개,X 대,1천,180,없음,8천,None,None
4153,서울 종로구 종로5가,320,54 개,34 개,X 대,4천4백,386,포함,1억7천,None,None
4154,서울 종로구 00동,440,12 개,12 개,00 대,3500,200,None,18000,None,None
4155,서울 서대문구 00동,225.48,34 개,19 개,00 대,5000,450,None,30000,None,None
4156,서울 중구 00동,140.9,28 개,12 개,00 대,10000,660,None,26000,None,None
4157,서울 서대문구 00동,111.9,42 개,개,00 대,10000,300,None,26000,None,None
4158,서울 종로구 00동,308,41 개,개,None,1억,680,None,2억6000,None,None
4159,서울 동작구 00동,120,30개� 개,개,00 대,9000,480,None,18000,None,None
4160,서울 영등포구 00동,120,41 개,,00 대,4000,420,None,22000,None,None
4161,서울 종로구 00동,100,None,None,00 대,7000,420,None,,None,None
4162,서울 서초구 00동,450,33 개,개,00 대,4천,320,20,1억6천,None,None
4163,서울 동작구 00동,None,30 개,29 개,00 대,4천,290,None,2억8천,None,None
4164,서울 중랑구 00동,100,38 개,개,00 대,4천,300,None,2억,None,None
4165,서울 서대문구 00동,100,27 개,27 개,. 대,.,.,.,1억,2호선 신촌역,None
4166,서울 마포구 00동,396,32 개,32 개,00 대,,290,None,30000,None,None
4167,서울 구로구 00동,270,31 개,31 개,00 대,3000,250,None,17000,None,None
4168,서울 마포구 00동,330,35 개,. 개,00 대,,425,None,1억6천,None,None
4169,서울 노원구 00동,298,개,개,00 대,,680,None,21000,None,None
4170,서울 동작구 00동,.,개,개,00 대,4천,320,20,2억,None,None
4171,서울 동작구 00동,.,개,개,00 대,8천,450,None,2억2천,None,None
4172,서울 종로구 00동,.,개,개,00 대,6천,660,없음,3억7천,None,None
4173,서울 중구 00동,.,31 개,31 개,00 대,8천,640,없음,2억4천,None,None
4174,서울 구로구 00동,495,35 개,35 개,00 대,5천,500,없음,4억,None,None
4175,서울 금천구 00동,311,개,개,00 대,2억,상담,없음,임대,None,None
4176,서울 서대문구 00동,400,개,개,00 대,1억1천,500,None,2억8천,None,None
4177,서울 동대문구 동대문역,**,개,개,1 대,3천,330,30,합1,None,None
4178,서울 관악구  신림동,**,개,개,1 대,4천,290,30,1.7억,None,None
4179,서울 중구 충무로,**,개,개,불가 대,3500,470,없음,1억5천,None,None
4180,서울 종로구 창경궁ㄹ,**,45 개,22 개,불가 대,9000,638,66,2억1500,None,None
4181,서울 구로구 구로동,**,40 개,25 개,2 대,8천,550,45,권리금3천,None,None
4182,서울 동작구  노량진동,420,44 개,26 개,1 대,7천,320,None,권리금3500,None,None
4183,서울 강남구 삼성동,410,58 개,38 개,1 대,5천,290,30,합1억6천,None,None
4184,서울 강남구  가산동,452.1,94 개,0 개,1 대,3500,290,30,합9천,None,None
4185,서울 중구 충무로,465.08,55 개,8 개,불가 대,3000,430,없음,8000,None,None
4186,서울 종로구 혜화동,500,27 개,27 개,1 대,7천,320,30,권리금9천,None,None
4187,서울 광진구 자양로,440,40 개,40 개,불가 대,4000,400,없음,1억6천,None,None
4188,서울 송파구 석촌동,300,33 개,33 개,1 대,9000,400,사용량에따라,17000,None,None
4189,서울 노원구 00동,300,35 개,35 개,00 대,2700,188,None,2억,None,None
4190,서울 중구 00동,314.78,41 개,11 개,00 대,4천,370,None,1억8천,None,None
4191,서울 강남구 삼성동,380,35 개,20 개,없음 대,8000,620,사용량따라,17000,None,None
4192,서울 성북구 안암동,316.36,24 개,개,1 대,3000,272,사용량따라,8500,None,None
4193,서울 동작구 00동,367,28 개,28 개,00 대,8천,450,None,2억3천,1호선 노량진역,None
4194,서울 성북구 안암동,250,34 개,20 개,1 대,10000,910,사용량따라,22000,None,None
4195,서울 양천구 목동,199,39 개,22 개,5 대,9천,360,100만원,2억2천5백,None,None
4196,서울 마포구 서교동,367,37 개,37 개,X 대,5천,550,40만원,1억8천,None,None
4197,서울 광진구 자양동,300.85,87 개,76 개,X 대,4천,500,없음,1억6천5백,None,None
4198,서울 금천구 00동,288.51,34 개,25 개,00 대,5000,480,None,3억2000,None,None
4199,서울 종로구 00동,902.55,53 개,6 개,00 대,8천,390,30,2억9천,None,None
4200,서울 동대문구 00동,310.5,38 개,21 개,00 대,4천,360,None,1억5천,None,None
4201,서울 종로구 00동,376.95,40 개,40 개,00 대,8천,500,None,2억,None,None
4202,서울 성북구 00동,164.3,38 개,38 개,00 대,7천,640,None,1억7천,None,None
4203,서울 용산구 00동,360,45 개,개,3 대,8000,530,없음,1억8천,None,None
4204,서울 성동구 00동,363,38 개,개,00 대,4천,407,None,1억1500,None,None
