고시원 이름,평수,총 방 갯수,총 욕실 갯수,주차 공간,보증금,월 임대료,관리비,매물 총액,인근 지하철,인근 대학교,보증금 전처리,매물 총액 전처리,방 갯수 전처리,월 임대료 전처리,관리비 전처리,지역별 평균 월세,TC(총영업비용),FC(고정비용),VC(변동비용),회수기간_상,회수기간_중,회수기간_하,연수익매출_상,연수익매출_중,연수익매출_하,월수익매출_상,월수익매출_중,월수익매출_하,연순수익_상,연순수익_중,연순수익_하,월순수익_상,월순수익_중,월순수익_하,순수익률_상,순수익률_중,순수익률_하
서울 구로구 00동,340, 40 개, 24 개,1 대,4000 만원,360, 별도 ,17000,-선택사항- ,-선택사항-     ,4000,17000,40,360,0,36,17000,36,133,4.1,4.9,6.7,5520,5520,5520,514,460,379,4140,3492,2520,345,291,210,24,20,14
서울 성북구 월곡동,264.4, 42 개, 2 개,2 대,4000 만원,200, 없슴 ,9000,-선택사항- ,-선택사항-     ,4000,9000,42,200,0,37,9000,37,140,37.5,inf,-23.4,2124,2124,2124,197,177,145,240,0,-384,20,0,-32,2,0,-4
서울 용산구 00동,561, 50 개,  개,1 대,500 만원,700,0,1억4천만,4호선 숙대입구역,서울 숙명여자대학교    ,500,14000,50,700,0,37,14000,37,166,3.5,4.2,6.1,5736,5736,5736,534,478,393,3972,3300,2280,331,275,190,28,23,16
서울 금천구 00동,380,  개,  개,00 대,5000 만원,400,0,17000,-선택사항- ,-선택사항-     ,5000,17000,0,400,0,38,17000,37,166,3.5,4.2,6.1,5736,5736,5736,534,478,393,3972,3300,2280,331,275,190,28,23,16
서울 노원구 00동,410, 40 개,  개,00 대,3000 만원,400,0,18000,-선택사항- ,-선택사항-     ,3000,18000,40,400,0,36,18000,36,133,3.5,4.1,5.6,6372,6372,6372,593,531,437,5088,4344,3216,424,362,268,28,24,17
서울 종로구 숭인동,195, 20 개, 20 개,00 대,6천 만원,300, 별도 ,1억5천,-선택사항- ,-선택사항-     ,6000,15000,20,300,0,42,15000,42,66,5,6,8.1,3816,3816,3816,356,318,262,2976,2520,1848,248,210,154,19,16,12
서울 서대문구 창천동,238.78, 37 개, 37 개,00 대,3천6백 만원,495, 무 ,2억,-선택사항- ,-선택사항-     ,3600,20000,37,495,0,39,20000,39,123,3.4,4,5.3,6960,6960,6960,649,580,478,5844,5016,3792,487,418,316,29,25,18
서울 서초구 00동,403.3, 50 개,  개,00 대,8500 만원,540,50,23,-선택사항- ,-선택사항-     ,8500,23000,50,540,50,45,23000,95,166,6.1,7.6,11.9,6156,6156,6156,573,513,422,3744,3024,1932,312,252,161,16,13,8
서울 영등포구 영등포동,390, 40 개, 13 개,1 대,2500 만원,190,30,합1억7500,-선택사항- ,-선택사항-     ,2500,17500,40,190,30,38,17500,68,133,3.7,4.4,6.2,6372,6372,6372,593,531,437,4704,3960,2832,392,330,236,26,22,16
서울 동작구 노량진동,420, 큰24 개, 원24 개,1 대,8천 만원,280,30,합2억4천,-선택사항- ,-선택사항-     ,8000,24000,24,280,30,38,24000,68,80,4.1,4.8,6.3,6792,6792,6792,633,566,466,5820,5016,3816,485,418,318,24,20,15
서울 강남구 서초동,390, 40 개, 원25 개,1 대,6천 만원,490,50,합1억9500,-선택사항- ,-선택사항-     ,6000,19500,40,490,50,48,19500,98,133,5.4,6.6,10,5736,5736,5736,534,478,393,3636,2964,1944,303,247,162,18,15,9
서울 광진구 건대,420, 42 개, 원42 개,1 대,4천 만원,475,60,합3억2천,-선택사항- ,-선택사항-     ,4000,32000,42,475,60,39,32000,99,140,3.1,3.5,4.6,11892,11892,11892,1108,991,816,10428,9024,6924,869,752,577,32,28,21
서울 중구 명동,330, 30 개, 30 개,00 대,3 만원,220,30,합2억7천,-선택사항- ,-선택사항-     ,3,27000,30,220,30,41,27000,71,100,2.5,2.9,3.7,11472,11472,11472,1068,956,787,10764,9420,7392,897,785,616,39,34,27
서울 동작구 00동,200, 33 개,  개,00 대,6000 만원,300, 없음 ,36000,-선택사항- ,-선택사항-     ,6000,36000,33,300,0,38,36000,38,110,2.9,3.3,4.1,12744,12744,12744,1187,1062,875,12468,10968,8724,1039,914,727,34,30,24
서울 강남구 00동,470, 52 개,  개,1 대,1억 만원,500,0,2억2천,-선택사항- ,-선택사항-     ,10000,22000,52,500,0,48,22000,48,173,7.2,9,14.2,5100,5100,5100,475,425,350,3048,2448,1548,254,204,129,13,11,7
서울 동작구 00동,465.3, 77 개,  개,00 대,5000 만원,460,0,29000,-선택사항- ,-선택사항-     ,5000,29000,77,460,0,38,29000,38,256,3.7,4.3,6,10200,10200,10200,950,850,700,7872,6672,4872,656,556,406,27,23,16
서울 동작구 00,330, 32 개, 32 개,1 대,4000 만원,340,0,2억2천,-선택사항- ,-선택사항-     ,4000,22000,32,340,0,38,22000,38,106,3.2,3.7,4.8,7644,7644,7644,712,637,525,6816,5916,4572,568,493,381,30,26,20
서울 강동구 00동,360, 50 개, 0 개,00 대,5000 만원,470,0,1억8000,-선택사항- ,-선택사항-     ,5000,18000,50,470,0,38,18000,38,166,4.8,5.9,8.6,5520,5520,5520,514,460,379,3720,3072,2100,310,256,175,20,17,11
서울 종로구 숭인동,235.14, 20 개, 20 개,X 대,6천 만원,330, 40만원 ,1억6천5백,-선택사항- ,-선택사항-     ,6000,16500,20,330,40,42,16500,82,66,5.1,6.2,8.7,4452,4452,4452,415,371,306,3204,2676,1896,267,223,158,19,16,11
서울 성북구 삼선동,102.35, 35 개, 5 개,X 대,4천 만원,250, 없음 ,8천,-선택사항- ,-선택사항-     ,4000,8000,35,250,0,37,8000,37,116,133.3,-55.6,-18,1692,1692,1692,158,141,116,60,-144,-444,5,-12,-37,0,-1,-5
서울 종로구 00동,270, 33 개,  개,00 대,3000 만원,230,0,8000,-선택사항- ,-선택사항-     ,3000,8000,33,230,0,42,8000,42,110,14.8,26.7,-95.2,2124,2124,2124,197,177,145,540,300,-84,45,25,-7,6,3,-1
서울 강북구 수유동,228.53, 23 개, 23 개,X 대,4천 만원,200, 없음 ,2억2천,-선택사항- ,-선택사항-     ,4000,22000,23,200,0,35,22000,35,76,3.1,3.5,4.4,7644,7644,7644,712,637,525,7212,6312,4968,601,526,414,32,28,22
